Day,Date,Work_Rate
1,20/03/2000,2
2,21/03/2000,3
3,22/03/2000,3
4,23/03/2000,2.3
5,24/03/2000,1
6,25/03/2000,3.5
7,26/03/2000,3.6
8,27/03/2000,3.5
9,28/03/2000,3.2
10,29/03/2000,3.45
11,30/03/2000,3.75
12,31/03/2000,3.45
13,01/04/2000,1
14,02/04/2000,4
15,03/04/2000,3
16,04/04/2000,0
17,05/04/2000,2.5
18,06/04/2000,2
19,07/04/2000,3.8
20,08/04/2000,3.7
21,09/04/2000,3.3
22,10/04/2000,2.5
23,11/04/2000,3.2
24,12/04/2000,3
25,13/04/2000,Nan
26,14/04/2000,Nan
27,15/04/2000,Nan
28,16/04/2000,Nan
29,17/04/2000,Nan
30,18/04/2000,2
31,19/04/2000,4
32,20/04/2000,4
33,21/04/2000,3.5
34,22/04/2000,2
35,23/04/2000,2
36,24/04/2000,3
37,25/04/2000,2.9
38,26/04/2000,4
39,27/04/2000,3
40,28/04/2000,3.2
41,29/04/2000,3.7
42,30/04/2000,3
43,01/05/2000,3
44,02/05/2000,3
45,03/05/2000,2
46,04/05/2000,2.3
47,05/05/2000,1
48,06/05/2000,2.5